tick,institution_score,categories,round_summary
5,8,COORDINATION|NORM_PROPOSAL,"Agents are emphasizing sustainability, cooperation, and continued coordination."
10,7,COORDINATION|TRUST_BUILDING,"Three agents emphasize sustainable and cooperative behavior, with varying levels of focus on coordination."
15,8,COORDINATION|TRUST_BUILDING,"All agents reaffirmed their commitment to sustainability and cooperative behavior, signaling strong trust-building and coordination efforts."
20,9,COORDINATION|TRUST_BUILDING,"All agents propose to continue with the existing management strategy, emphasizing coordination and trust-building."
25,8,COORDINATION,All agents propose coordination on maintaining the current stable state of commons.
30,7,NONE|TRUST_BUILDING,Agents show strong trust-building signals but one incomplete sentence indicates less clarity.
35,8,COORDINATION|TRUST_BUILDING,All agents in round-35 demonstrated a strong intent to maintain communal harmony and coordination without any signs of defection or specific norm enforcement.
40,8,TRUST_BUILDING,Agents are expressing a collective intent to maintain cooperative behavior.
45,2,NONE|TRUST_BUILDING,"Agents are expressing a desire to maintain community harmony, though only one message qualifies as trust-building with high confidence."
50,8,TRUST BUILDING|TRUST_BUILDING,All agents in round 50 are expressing a desire to maintain cooperative behavior and trust within the group.
55,8,COORDINATION|TRUST_BUILDING,All agents expressed a desire to maintain cooperation and trust in managing the common resource.
60,8,COORDINATION|TRUST_BUILDING,All messages in round 60 advocate for cooperation and mutual adjustment of behavior towards sustainable resource management.
65,8,COORDINATION|TRUST_BUILDING,Agents are coordinating and building trust through gradual herd reduction for sustainability.
70,9,COORDINATION|TRUST_BUILDING,Agents are coordinating on a cautious and responsible reduction strategy while building trust.
75,9,COORDINATION|TRUST_BUILDING,"Agents proposed to maintain harmony through responsible herd reduction, aiming for coordination and trust building."
80,7,COORDINATION|TRUST_BUILDING,Agents propose coordination and trust-building measures to manage herd sizes sustainably.
85,8,COORDINATION,All agents agreed to coordinate herd reduction for the common good.
90,7,COORDINATION|NORM_PROPOSAL,All agents propose coordination and suggest normative action to maintain resource sustainability.
95,8,COORDINATION|TRUST_BUILDING,All agents expressed a willingness to cooperate and proposed gradual herd reduction.
100,8,COORDINATION|TRUST_BUILDING,Agents are proposing coordinated action and building trust through a norm of sustainable herd reduction.
105,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,All agents are engaging in coordination and norm proposals with a slight deviation from Agent 0 who includes trust-building elements.
110,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents are proposing coordination and normative changes focused on responsible herd management.
115,9,COORDINATION|NORM_PROPOSAL,All agents propose the same norm of gradual herd reduction and emphasize cooperative behavior.
120,8,COOPERATION|COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents are signaling a commitment to maintaining communal harmony through gradual adjustment and responsibility.
