tick,institution_score,categories,round_summary
5,4,COORDINATION|NORM_PROPOSAL|SANCTION|TRUST_BUILDING,Agents 0 and 1 are jointly signaling cooperative restraint while issuing norm-based appeals and implicit sanctions toward Agent 2's disproportionate resource extraction.
10,4,COORDINATION|NORM_PROPOSAL|SANCTION,"Agents 0 and 1 form a coordinated coalition invoking fairness norms, appealing to collective restraint, and issuing implicit sanctions against Agent 2's persistent over-extraction, signaling institutional stress at a critical juncture."
15,4,COORDINATION|NORM_PROPOSAL|SANCTION,"Agents 0 and 1 are coordinating a joint ultimatum against Agent 2's persistent over-extraction, invoking fairness norms and threatening collective retaliation, signaling a near-breakdown of cooperative governance."
20,2,COORDINATION|NORM_PROPOSAL|SANCTION,"Agents 0 and 1 are jointly sanctioning Agent 2's extreme over-extraction (44 cows vs. 6 and 15), invoking fairness norms and collective harm framing, but Agent 2 has not responded, indicating persistent defection and institutional breakdown."
25,5,COORDINATION|NORM_PROPOSAL|SANCTION,"Agents 0 and 1 present a coordinated ultimatum to Agent 2, invoking free-rider norms and threatening reciprocal defection as a conditional sanction if herd reduction does not occur."
30,4,COORDINATION|NORM_PROPOSAL|SANCTION,"Agents 0 and 1 issue coordinated moral-sanction appeals to Agent 2, citing asymmetric herd sizes and collective resource degradation to demand reduction, signaling normative enforcement without formal mechanisms."
35,5,COORDINATION|NORM_PROPOSAL|SANCTION,"Agents 0 and 1 jointly appeal to Agent 2 with quantified evidence of resource decline and equity violations, issuing normative pressure and implicit social sanctions while signaling their own cooperative compliance."
40,3,COORDINATION|NORM_PROPOSAL|SANCTION,"Agents 0 and 1 are jointly issuing urgent, data-backed appeals to Agent 2 to reduce their herd, invoking shared norms of restraint, warning of imminent collapse, and signaling coalition solidarity — but Agent 2 continues to defect with 64 cows."
45,6,COORDINATION|NORM_PROPOSAL|SANCTION,"Agents 0 and 1 present a united front, combining quantified resource monitoring, social sanctioning, and explicit norm enforcement directed at Agent 2's disproportionate extraction, while signaling their own cooperative compliance as a coordinated coalition."
50,5,COORDINATION|NORM_PROPOSAL|SANCTION|TRUST_BUILDING,"Agents 0 and 1 jointly signal collective restraint and issue urgent warnings to Agent 2 about asymmetric exploitation and imminent commons collapse, demonstrating coalition-building and normative pressure without enforceable sanctions."
55,4,COORDINATION|NORM_PROPOSAL|SANCTION,"Agents 0 and 1 are jointly pressuring Agent 2 with blame attribution, collapse warnings, and explicit reduction requests, forming a coordinated sanctioning coalition against a perceived defector."
60,6,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Both agents signal cooperative restraint at a point of total resource collapse, proposing a shared zero-extraction norm and appealing to collective action to enable regeneration."
