tick,institution_score,categories,round_summary
5,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents reaffirm restraint, coordinate on continued recovery before adding cows, and reinforce mutual trust without sanctions or defections."
10,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agents show strong coordination and trust-building around equitable, gradual herd growth and propose shared limits to prevent overuse."
15,7,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agents show restraint-oriented coordination with proposed conditional limits on future additions, though two agents still add cows simultaneously."
20,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agents reinforce a cooperative rotation norm of holding or pausing additions, with conditional conservation triggers if pasture decline accelerates."
25,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agents coordinate a staggered catch-up addition for Agent 0 while Agents 1 and 2 hold, reinforcing trust and a shared norm of spaced herd growth to protect the pasture."
30,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents coordinate around a shared cap of 23 cows, emphasizing fairness, promise-keeping, and pasture protection."
35,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents reaffirm the shared norm of equal herd sizes and restraint, coordinating continued cooperation to protect the pasture."
40,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents reaffirm an equal-herd restraint norm at 23, emphasizing fairness, pasture health, and continued cooperative coordination."
45,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,All agents reaffirm a shared restraint norm of maintaining equal herds at 23 to preserve fairness and the commons.
50,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,All agents reaffirm a shared norm of equal herd sizes and mutual restraint to preserve the commons and maintain fairness.
