tick,agent_id,action,action_name,message,reasoning,pool_pct,own_herd,payoff_add,payoff_keep,payoff_remove
1,1,0,KEEP,"Let's keep herds stable to preserve the commons. I appreciate Agent 0's restraint. If we all cooperate, we all benefit long-term. I'll hold steady at 30 cows this round.",,100.0,30,61.764,60.0,58.232
2,1,1,ADD,"Pasture looks healthy so I'm adding one cow this round. Let's stay mindful of sustainability — if grass starts dropping, I'll pull back and hope we can coordinate to keep things stable for everyone lo",,98.3,30,61.716,60.0,58.28
3,1,0,KEEP,I'm holding steady at 31 cows to protect the commons. Pasture is healthy but we're all adding — let's coordinate and keep herds stable so we don't overshoot. Sustainable payoffs beat short-term gains.,,97.4,31,63.682,62.0,60.314
4,1,0,KEEP,I'm holding at 31 cows to protect our shared pasture. I notice both neighbours are adding — let's be careful not to overshoot. The commons looks healthy now but collective restraint keeps it that way.,,96.9,31,63.661,62.0,60.335
5,1,0,KEEP,"I'm holding at 31 cows. The pasture has dropped to 96.4% over 5 rounds — if we all keep adding, we'll accelerate degradation. Please consider keeping or reducing your herds. Sustainable management ben",,96.4,31,63.643,62.0,60.353
6,1,0,KEEP,I'm holding at 31 cows. The pasture has dropped from 100% to 96% in just 5 rounds — that's a warning sign. I urge everyone to pause adding cows so we don't overshoot. Collective restraint now protects,,96.0,31,63.625,62.0,60.371
7,1,0,KEEP,I'm holding at 31 cows. Both of you added this round — the pasture has been declining steadily. Let's be careful not to overgraze. A small payoff boost now isn't worth long-term damage to our shared c,,95.5,31,63.607,62.0,60.389
8,1,0,KEEP,Still holding at 31 cows. The pasture has dropped to 95% — we're slowly degrading our commons. Both of you have been adding; please consider holding or reducing. Sustainable grazing benefits all of us,,95.0,31,63.59,62.0,60.406
9,1,0,KEEP,"Still holding at 31 cows. Agent 2, you're at 33 and adding — that's starting to strain our shared pasture. We've dropped from 96.9% to 94.5% over recent rounds. I'd encourage both of you to hold or re",,94.5,31,63.571,62.0,60.425
10,1,0,KEEP,"Still holding at 31. The pasture has dropped to 93.9% — we're slowly depleting it. Agent 2, you're at 34 and adding; Agent 0 added too. I urge both of you to stop adding or even reduce. If we all keep",,93.9,31,63.552,62.0,60.444
11,1,0,KEEP,"Pasture is at 93.3% and falling. I've held at 31 for 5+ rounds. Agent 2, you're at 35 and still adding — this is unsustainable. Agent 0, same concern. Please stop adding or reduce. I'll consider remov",,93.3,31,63.532,62.0,60.464
12,1,0,KEEP,"Still holding at 31. Pasture is down to 92.7% — we've lost 5+ points in recent rounds. Agent 2, you're at 36 cows and still adding. Please consider reducing. The marginal payoff gain from adding isn't",,92.7,31,63.513,62.0,60.484
