tick,institution_score,categories,round_summary,run_id,condition
5,7,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All three agents display cooperative signaling with Agent 2 actively reducing, Agent 1 holding steady, and Agent 0 reciprocating — converging toward an informal norm of 15–18 cows per agent.",20260515_233233_full-gabm,full-gabm
10,7,COORDINATION|NORM_PROPOSAL|SANCTION|TRUST_BUILDING,"All three agents display cooperative institutional signaling: Agent 2 makes a concession toward equity, Agent 0 issues a soft sanction calling for fairness, and Agent 1 reinforces stability norms, suggesting an emerging but asymmetric governance equilibrium.",20260515_233233_full-gabm,full-gabm
15,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All three agents are exhibiting cooperative institutional behavior — Agent 2 actively reducing, Agent 1 holding steady with a commitment against expansion, and Agent 0 maintaining restraint — while mutually reinforcing trust and coordinating toward a balanced commons norm.",20260515_233233_full-gabm,full-gabm
20,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All three agents exhibit strong institutional signaling through reciprocal acknowledgment, fairness-based norm proposals, and forward-looking coordination, with Agent 1 making a concrete cooperative reduction in response to social pressure.",20260515_233233_full-gabm,full-gabm
25,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All three agents uniformly signal strong cooperative commitment, referencing shared empirical evidence (99.4% commons health) and mutually reinforcing norms of stability and fairness consistent with a well-institutionalized common-pool resource regime.",20260515_233233_full-gabm,full-gabm
30,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All three agents uniformly reinforce a stable, long-running cooperative equilibrium at round 30, citing sustained high grassland health, equal herd sizes, and 30 rounds of successful collective action as institutional validation.",20260515_233233_full-gabm,full-gabm
35,9,COORDINATION|TRUST_BUILDING,"All three agents send identical coordination and trust-building messages affirming a sustained three-way equilibrium at 13 cows each, citing near-perfect resource health and 35 rounds of unbroken cooperation.",20260515_233233_full-gabm,full-gabm
40,9,COORDINATION|TRUST_BUILDING,"All three agents uniformly reinforce a stable, long-running cooperative equilibrium with identical messaging, demonstrating robust coordination and trust-building with no defection signals.",20260515_233233_full-gabm,full-gabm
45,9,COORDINATION|TRUST_BUILDING,"All three agents broadcast identical cooperative messages reinforcing a stable, long-running equilibrium at 13 cows each, demonstrating deep institutional consolidation through mutual trust-building and coordinated commitment signals.",20260515_233233_full-gabm,full-gabm
50,9,COORDINATION|TRUST_BUILDING,"All three agents send identical cooperative messages at round 50, reaffirming a stable, long-running three-way equilibrium with near-perfect resource health and equal herd sizes, demonstrating sustained institutional coordination and mutual trust.",20260515_233233_full-gabm,full-gabm
55,9,COORDINATION|TRUST_BUILDING,"All three agents emit identical coordinating messages reinforcing a stable, long-running cooperative equilibrium at 13 cows each, demonstrating sustained institutional trust and norm adherence.",20260515_233233_full-gabm,full-gabm
60,9,COORDINATION|TRUST_BUILDING,"All three agents display near-identical cooperative messaging reinforcing a stable, long-running equilibrium at 13 cows each, demonstrating strong mutual trust and coordinated commitment to sustainable resource use.",20260515_233233_full-gabm,full-gabm
65,9,COORDINATION|TRUST_BUILDING,"All three agents broadcast identical messages reinforcing a stable cooperative equilibrium at 13 cows each, citing 65 rounds of sustained cooperation and near-perfect resource health as evidence of institutional success.",20260515_233233_full-gabm,full-gabm
70,9,COORDINATION|TRUST_BUILDING,"All three agents send identical messages reaffirming a stable, long-running cooperative equilibrium with equal herd sizes and near-pristine grassland, reflecting deeply institutionalized coordination and mutual trust.",20260515_233233_full-gabm,full-gabm
75,9,COORDINATION|TRUST_BUILDING,"All three agents display near-identical cooperative messaging, reinforcing a long-established equilibrium with strong trust-building and coordination signals after 75 rounds of sustained collective action.",20260515_233233_full-gabm,full-gabm
80,9,COORDINATION|TRUST_BUILDING,"All three agents uniformly reinforce an established cooperative equilibrium with identical messaging, citing sustained resource health and equal contributions over 80 rounds as evidence of robust institutional success.",20260515_233233_full-gabm,full-gabm
85,9,COORDINATION|TRUST_BUILDING,"All three agents display near-identical cooperative messaging reinforcing a long-standing stable equilibrium, demonstrating robust mutual trust and coordinated norm adherence at round 85.",20260515_233233_full-gabm,full-gabm
90,9,COORDINATION|TRUST_BUILDING,"All three agents uniformly reinforce a stable cooperative equilibrium with identical messaging, citing 90 rounds of sustained coordination and near-perfect resource health as justification for continued compliance.",20260515_233233_full-gabm,full-gabm
95,10,COORDINATION|TRUST_BUILDING,"All three agents are broadcasting identical cooperative signals, reinforcing a highly stable and mature institutional equilibrium with perfect symmetry in herd size and sustained resource health over 95 rounds.",20260515_233233_full-gabm,full-gabm
100,10,COORDINATION|TRUST_BUILDING,"At round 100, all three agents unanimously affirm a fully realized, sustained cooperative equilibrium with equal herd sizes and near-perfect grassland health, representing textbook successful commons governance.",20260515_233233_full-gabm,full-gabm
105,10,COORDINATION|TRUST_BUILDING,"All three agents reinforce a deeply entrenched cooperative equilibrium through symmetric KEEP commitments, reciprocal trust affirmations, and explicit acknowledgment of long-run resource preservation success.",20260515_233233_full-gabm,full-gabm
110,10,COORDINATION|TRUST_BUILDING,"All three agents emit identical cooperative signals at round 110, reinforcing a deeply entrenched norm of symmetric restraint and collective stewardship with near-perfect resource preservation.",20260515_233233_full-gabm,full-gabm
115,10,COORDINATION|TRUST_BUILDING,"All three agents continue to display near-identical, highly stable cooperative messaging after 115 rounds, reinforcing mutual trust, equitable resource use, and collective stewardship of the commons at an institutional equilibrium.",20260515_233233_full-gabm,full-gabm
120,10,COORDINATION|TRUST_BUILDING,"All three agents display near-identical messaging reinforcing a stable, long-run cooperative equilibrium with high resource conservation and symmetric herd sizes, reflecting deeply institutionalized trust and coordinated self-governance.",20260515_233233_full-gabm,full-gabm
5,4,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agent 0 appeals to fairness and collective sustainability, proposing herd reductions while signaling its own restrained past behavior, though its announced addition of a cow slightly undermines its cooperative framing.",20260516_005208_hybrid,hybrid
10,5,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agent 0 issues a late-game collective-action appeal, disclosing current herd totals and resource trend data while proposing voluntary reduction norms to avert commons collapse.",20260516_005208_hybrid,hybrid
15,5,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agent 0 signals cooperative intent by disclosing its own herd size, providing environmental data, and appealing for collective reduction, though the message is truncated before completing its commitment pledge.",20260516_005208_hybrid,hybrid
20,4,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agent 0 issues a urgent collective action appeal backed by resource monitoring data, framing their own restrained behavior as a cooperative baseline while calling for reciprocal herd reductions to avert commons collapse.",20260516_005208_hybrid,hybrid
25,3,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agent 0 makes a unilateral sacrifice signal, proposes collective herd reduction norms, and warns of collapse, but faces apparent non-reciprocation from the other two agents who collectively hold 88 cows.",20260516_005208_hybrid,hybrid
30,5,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agent 0 presents empirical data on grassland degradation, signals unilateral restraint, and appeals for collective herd reduction to prevent commons collapse.",20260516_005208_hybrid,hybrid
35,3,COORDINATION|NORM_PROPOSAL|SANCTION,"Agent 0 issues a desperate emergency appeal highlighting near-total resource collapse, signaling both a coordination call and an implicit sanction warning (zero payoff) while demonstrating unilateral sacrifice with only 3 cows remaining.",20260516_005208_hybrid,hybrid
40,6,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agent 0 issues a strong collective restraint appeal at a critical resource collapse point (0% grassland), proposing a zero-extraction norm and signaling personal compliance to build trust.",20260516_005208_hybrid,hybrid
45,5,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agent 0 issues an urgent collective action appeal at total resource collapse, proposing a norm of restraint and framing shared zero-payoff consequences to build cooperative alignment.",20260516_005208_hybrid,hybrid
50,3,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agent 0 unilaterally maintains zero grazing and issues a normative appeal to other agents to refrain from exploiting the fully depleted commons, signaling cooperative intent under collapse conditions.",20260516_005208_hybrid,hybrid
5,6,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agent 1 signals cooperative intent by disclosing their own stable herd size, citing measurable pasture degradation data, and appealing to collective restraint as a norm for sustainable governance.",20260516_011105_hybrid,hybrid
10,6,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agent 1 demonstrates restraint and transparency by reporting resource depletion data while calling on over-extracting agents to reduce usage, signaling cooperative norm enforcement.",20260516_011105_hybrid,hybrid
15,7,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agent 1 demonstrates prosocial leadership by unilaterally reducing their herd and explicitly calling on others to restrain expansion, signaling a norm of collective restraint to prevent commons degradation.",20260516_011105_hybrid,hybrid
20,5,COORDINATION|SANCTION|TRUST_BUILDING,"Agent 1 demonstrates unilateral pro-social reduction and publicly names Agent 2's overuse as a threat, combining self-disclosure trust-building with a social sanction and explicit coordination appeal.",20260516_011105_hybrid,hybrid
