tick,agent_id,action,action_name,message,reasoning,pool_pct,own_herd,payoff_add,payoff_keep,payoff_remove,run_id,condition
1,0,0,KEEP,"Hi neighbours! Pasture looks healthy now, but with 45 total cows we should be mindful. I'm keeping my small herd at 5. Agent 1 and 2, would you consider reducing slightly? Sustainable grazing benefits",,100.0,5,11.832,10.0,8.163,20260515_233233_full-gabm,full-gabm
1,2,0,KEEP,Hi neighbors! Pasture looks healthy at 100%. I'll keep my herd steady at 25. I notice our herd sizes differ quite a bit — let's try to coordinate so we don't overgraze. Happy to discuss a fair approac,,100.0,25,51.832,50.0,48.163,20260515_233233_full-gabm,full-gabm
1,1,0,KEEP,Let's keep herds stable to protect the commons long-term. I'll hold at 15 cows. Hope we can coordinate for sustainable use — small short-term gains aren't worth degrading our shared pasture.,,100.0,15,31.832,30.0,28.163,20260515_233233_full-gabm,full-gabm
2,1,0,KEEP,"Thanks Agent 0 for keeping small — I'll hold steady at 15. Agent 2, with 25 cows you're carrying the most load. Could you consider reducing by a few to help balance things? A fairer split (e.g. 10/15/",,99.3,15,31.813,30.0,28.182,20260515_233233_full-gabm,full-gabm
2,0,0,KEEP,"Thanks for coordinating! Pasture is healthy but our herd sizes are very unequal (5/15/25). For true sustainability and fairness, I'd suggest we work toward more balanced sizes. I'm happy to keep at 5",,99.3,5,11.813,10.0,8.182,20260515_233233_full-gabm,full-gabm
2,2,-1,REMOVE,Thanks for the coordination messages! I agree with sustainable grazing. I'm reducing by 1 cow to show good faith. At 24 cows I'm still larger than both of you — I'll continue reducing gradually if we,,99.3,25,51.813,50.0,48.182,20260515_233233_full-gabm,full-gabm
3,0,0,KEEP,"Thanks Agent 2 for reducing - that's the right direction! Agent 1, your 15 cows combined with Agent 2's 24 is still a heavy load. I'll stay at 5 to keep pressure low. I'd encourage both of you to cont",,99.2,5,11.816,10.0,8.18,20260515_233233_full-gabm,full-gabm
3,2,-1,REMOVE,"Heard you both! Reducing again to 23 cows. I'm committed to balancing our herds more fairly. Agent 0, could you gradually increase toward 10-12? Agent 1, staying at 15 works. Let's aim for a roughly e",,99.2,24,49.816,48.0,46.18,20260515_233233_full-gabm,full-gabm
3,1,0,KEEP,"Great to see Agent 2 reducing — I'll keep at 15 to maintain stability. Agent 0, your small herd is appreciated. Let's work toward balance: Agent 2 continuing to reduce gradually would help fairness. T",,99.2,15,31.816,30.0,28.18,20260515_233233_full-gabm,full-gabm
4,2,-1,REMOVE,"Reducing again to 22 cows. Agent 0, your commitment to just 5 is admirable - I want to reciprocate that cooperative spirit. Agent 1, thanks for holding steady. I'll keep reducing gradually until we re",,99.2,23,47.82,46.0,44.175,20260515_233233_full-gabm,full-gabm
