tick,institution_score,categories,round_summary
5,4,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agent 0 appeals to fairness and collective sustainability, proposing herd reductions while signaling its own restrained past behavior, though its announced addition of a cow slightly undermines its cooperative framing."
10,5,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agent 0 issues a late-game collective-action appeal, disclosing current herd totals and resource trend data while proposing voluntary reduction norms to avert commons collapse."
15,5,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agent 0 signals cooperative intent by disclosing its own herd size, providing environmental data, and appealing for collective reduction, though the message is truncated before completing its commitment pledge."
20,4,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agent 0 issues a urgent collective action appeal backed by resource monitoring data, framing their own restrained behavior as a cooperative baseline while calling for reciprocal herd reductions to avert commons collapse."
25,3,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agent 0 makes a unilateral sacrifice signal, proposes collective herd reduction norms, and warns of collapse, but faces apparent non-reciprocation from the other two agents who collectively hold 88 cows."
30,5,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agent 0 presents empirical data on grassland degradation, signals unilateral restraint, and appeals for collective herd reduction to prevent commons collapse."
35,3,COORDINATION|NORM_PROPOSAL|SANCTION,"Agent 0 issues a desperate emergency appeal highlighting near-total resource collapse, signaling both a coordination call and an implicit sanction warning (zero payoff) while demonstrating unilateral sacrifice with only 3 cows remaining."
40,6,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agent 0 issues a strong collective restraint appeal at a critical resource collapse point (0% grassland), proposing a zero-extraction norm and signaling personal compliance to build trust."
45,5,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agent 0 issues an urgent collective action appeal at total resource collapse, proposing a norm of restraint and framing shared zero-payoff consequences to build cooperative alignment."
50,3,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agent 0 unilaterally maintains zero grazing and issues a normative appeal to other agents to refrain from exploiting the fully depleted commons, signaling cooperative intent under collapse conditions."
