tick,agent_id,action,action_name,message,reasoning,pool_pct,own_herd,payoff_add,payoff_keep,payoff_remove
1,1,1,ADD,"Pasture is full and healthy - great start! I'm adding one cow cautiously. Agent 0, I appreciate your restraint. Agent 2, with 25 cows you're already the largest herd - maybe consider holding steady so",,100.0,15,31.832,30.0,28.163
1,0,1,ADD,"Pasture looks healthy at 100%. I'm adding modestly. I'd encourage everyone to keep herds reasonable — Agent 2, your 25 cows is quite large. If we cooperate and stay moderate, we all benefit long-term.",,100.0,5,11.832,10.0,8.163
1,2,1,ADD,Pasture is fully healthy so I'm adding one cow this round. Let's all try to stay moderate — if we overgraze we'll all suffer. I'll watch how everyone behaves and reciprocate accordingly.,,100.0,25,51.832,50.0,48.163
2,0,1,ADD,"Pasture still healthy so I'm adding one cow. Agent 2, your herd of 26 is quite large — please consider holding steady or reducing to protect our commons. Agent 1, thanks for the cooperative message. I",,99.2,6,13.797,12.0,10.198
2,2,0,KEEP,"Fair points from both neighbours - I'll hold steady at 26 this round. Pasture is healthy and I want to cooperate. Agent 0, I appreciate your restraint with 6 cows. Let's all keep growth moderate so th",,99.2,26,53.797,52.0,50.198
2,1,1,ADD,"Pasture is still healthy at 99.2% so I'm adding one cow. Agent 2, your herd at 26 is the largest here - please consider keeping or reducing. If we all stay moderate we protect long-term yields. I'll r",,99.2,16,33.797,32.0,30.198
3,2,0,KEEP,"Pasture remains healthy but I'm keeping my herd steady at 26 to show restraint. Agents 0 and 1, you're both adding cows while asking me to hold back - I'd appreciate reciprocal moderation from you too",,98.8,26,53.779,52.0,50.216
3,1,1,ADD,"Pasture at 98.8% looks healthy. I'm cautiously adding one cow. Agent 2, glad you're holding steady - appreciate the cooperation. Agent 0, let's both watch our growth rate. If payoffs stay at zero we m",,98.8,17,35.779,34.0,32.216
3,0,1,ADD,"Pasture at 98.8% so I'm adding one more. Agent 2, thanks for holding steady - I appreciate the cooperation. Agent 1, your herd at 17 is growing fast. Let's all be mindful of cumulative growth even wit",,98.8,7,15.779,14.0,12.216
4,0,1,ADD,"Agent 2, I hear your call for reciprocity - you're right that I've been adding while asking you to hold. I'll commit to keeping steady next round if you continue restraint. Agent 1, let's both slow ou",,98.6,8,17.766,16.0,14.23
4,2,1,ADD,"Pasture is still very healthy at 98.6%, so I'm adding one cow to stay competitive. Both neighbors are adding too - let's keep a close eye on the rate of decline. If pasture drops below 95%, I'll advoc",,98.6,26,53.766,52.0,50.23
4,1,0,KEEP,"Agent 2, I hear you - fair point about reciprocal moderation. I'm keeping my herd at 18 this round to show good faith. Agent 0, I'd encourage you to hold steady too. Pasture is still healthy but we're",,98.6,18,37.766,36.0,34.23
5,0,1,ADD,"Agent 1, I appreciate you holding steady - that's fair. Agent 2, you have 27 cows already while I have only 9. The imbalance concerns me. I'm adding one more this round, but I'd ask you to consider re",,98.3,9,19.75,18.0,16.245
5,2,0,KEEP,"Agent 1, I appreciate you keeping steady - reciprocating your good faith by holding my herd at 27. Agent 0, I'm watching your commitment to restrain next round. Pasture is healthy but let's keep it th",,98.3,27,55.75,54.0,52.245
5,1,1,ADD,"Pasture is healthy at 98.3% so I'm adding one cow to stay competitive. Agent 0, I appreciate your commitment to slow down - I'll match that restraint if you follow through. Agent 2, your herd is large",,98.3,18,37.75,36.0,34.245
6,0,1,ADD,"Pasture at 98.2% remains healthy. I'm adding one cow as payoff forecasts favor it and my herd (now 11) is still well below Agent 1 and Agent 2. Agent 1, you added despite promising restraint - I'd ask",,98.2,10,21.737,20.0,18.258
6,2,0,KEEP,"I'm keeping my herd at 27 this round to be responsible. Agent 1, you're adding despite asking me to show restraint - that's inconsistent. Agent 0, I appreciate your concern about balance, but you're a",,98.2,27,55.737,54.0,52.258
6,1,1,ADD,"Pasture remains healthy at 98.2%, payoff favors adding. Agent 2, thanks for holding steady - I appreciate the reciprocity. Agent 0, we're all roughly growing together. I'm adding one but watching clos",,98.2,19,39.737,38.0,36.258
7,0,1,ADD,"Pasture at 97.9% still healthy. I'm adding one to close the gap with neighbors. Agent 1, you're at 20 and adding - I'm just at 12. Agent 2, appreciate you holding steady at 27. If pasture drops below",,97.9,11,23.722,22.0,20.274
7,2,1,ADD,"Pasture at 97.9% is healthy so I'm adding one cow this round. Agent 1, I appreciate the kind words but I do expect you to show some restraint soon - we can't all keep adding indefinitely. Agent 0, gla",,97.9,27,55.722,54.0,52.274
7,1,1,ADD,"Pasture at 97.9% is still very healthy. Agent 2, you have 27 cows vs my 21 - I'd ask you to reduce before lecturing me on restraint. Agent 0, fair point noted. I'll consider removing if pasture drops",,97.9,20,41.722,40.0,38.274
8,0,1,ADD,"Pasture at 97.6% is still healthy. Agent 2, you have 28 cows which is significantly more than both Agent 1 and me — I'd ask you to show restraint first. I'll consider holding steady if you reduce. Age",,97.6,12,25.703,24.0,22.293
8,1,0,KEEP,"Pasture at 97.6% still healthy but I'm keeping steady at 21 this round to show restraint. Agent 2, I hear your concern - let's all hold for a bit. Agent 0, you're still well below us both so adding ma",,97.6,21,43.703,42.0,40.293
